strategy,avg_latency,p95_latency,p99_latency,success_rate,npu_load,rho_critical_theory,rho_critical_observed,total_energy,throughput,avg_wait_time,total_tasks,lambda
OracleScheduler,37.69204511302576,90.72401315506795,95.91710529482319,1.0,0.12603655974735978,0.941884414648502,0.0,647.1902663330054,7.955,0.2260497421655636,1591,8
RandomScheduler,43.47729938554492,95.52184537675501,151.19912544433416,0.9844221105527639,0.1467528176820805,0.8532442263916615,0.0,655.7146449885417,9.95,4.63691732555902,1990,10
RoundRobinScheduler,38.73738047535502,90.25142091908336,96.90360415899771,0.9989949748743718,0.1404585419321679,0.8543081466702244,0.0,653.83648746414,9.95,0.6287960588589985,1990,10
LoadBalanceScheduler,35.18851537868055,85.5887609793264,90.25409424668386,1.0,0.021129798695973014,0.8608228986790776,0.0,607.5871312022792,9.95,0.19850806672410293,1990,10
FastestResponseScheduler,69.04991174255693,178.99094726947112,255.22763688248844,0.9170854271356784,0.4250777427824143,0.8545591680973605,0.0,647.0342068242592,9.95,15.113788391540306,1990,10
E2MACSScheduler,38.54785556175834,93.39073422364264,162.1172898093188,0.9994974874371859,0.1785800516952067,0.9139593527624371,0.0,593.8339366488278,9.95,2.010161834287878,1990,10
OracleScheduler,37.64126329357836,91.24518274848228,100.15060899758002,1.0,0.15362141557169917,0.937278147514148,0.0,692.4378691810174,9.95,0.39985758346637346,1990,10
RandomScheduler,43.76319853660502,96.5419307301133,146.97212978453598,0.9713455149501661,0.17267408476493906,0.8544397931647125,0.0,693.8387795006437,12.04,5.641425780682559,2408,12
RoundRobinScheduler,38.27533469043477,89.98793694919273,100.72152381698739,0.9979235880398671,0.16559654439070928,0.8535581109979131,0.0,689.0539687505759,12.04,0.9140875166094632,2408,12
LoadBalanceScheduler,34.72110348760705,86.17437429430464,90.91544720951866,0.9995847176079734,0.03184659672736077,0.8580616258258201,0.0,641.6624886686094,12.04,0.31257091157675765,2408,12
FastestResponseScheduler,76.9013145609658,202.39742576614552,288.0389760052689,0.8845514950166113,0.5058964046158632,0.8532585297398886,0.5058964046158632,682.5944180309795,12.04,17.037385623639086,2408,12
E2MACSScheduler,41.280317119699596,94.24026392591855,147.0132862281368,0.992109634551495,0.244681419432469,0.8400103320413613,0.0,633.3020014617583,12.04,2.7213080793036966,2408,12
OracleScheduler,37.04591024364196,91.45425883351734,100.69977717144057,1.0,0.18331709526149134,0.9354517063866741,0.0,733.507598079425,12.04,0.44971372878193816,2408,12
RandomScheduler,44.91411333801046,103.34677815716138,161.4140950346786,0.9778571428571429,0.19350970708623783,0.852825859604973,0.0,734.9034041020232,14.0,5.981554426485779,2800,14
RoundRobinScheduler,38.92823357984458,90.25141737269031,108.56153664654346,0.9967857142857143,0.19378829270410797,0.8533073752658853,0.0,728.7761893125884,14.0,1.2720905539649947,2800,14
LoadBalanceScheduler,35.24808332323045,85.88280702975624,91.57497557797149,0.9985714285714286,0.03994262223678264,0.8560712236696609,0.0,677.1643505623123,14.0,0.4861833968977096,2800,14
FastestResponseScheduler,90.89479721478826,237.21837537937344,335.05912732513207,0.835,0.5911057892132328,0.853874303825958,0.5911057892132328,720.0865472538188,14.0,20.06572322172324,2800,14
E2MACSScheduler,38.990029024096785,96.58551766948165,160.64450373775145,1.0,0.2934067315007178,0.9302441988445599,0.0,722.0410562293293,14.0,2.3707045417377652,2800,14
OracleScheduler,37.56123865319984,91.9195778912595,103.55837736753699,0.9992857142857143,0.2194110359173462,0.932369951619259,0.0,777.3715108356242,14.0,0.532869583097573,2800,14
RandomScheduler,45.86361934544658,109.40406341747459,160.11502041164175,0.9706525132688105,0.2294550594122613,0.8552645233674301,0.0,768.9095570225184,16.015,6.724845847099444,3203,16
