strategy,avg_latency,p95_latency,p99_latency,success_rate,npu_load,rho_critical_theory,rho_critical_observed,total_energy,throughput,avg_wait_time,total_tasks,lambda,distribution
FastestResponseScheduler,50.69811968397965,152.32944821193212,216.8193534040411,0.8696428571428572,0.41191771727755744,0.8242031988353361,0.0,641.2437956021225,14.0,12.758092057393215,2800,14,heavy_voice
E2MACSScheduler,25.43524658527057,96.98134305111158,169.33969939463987,1.0,0.244572998146265,0.95,0.0,589.3527462931575,14.0,2.4537940560066516,2800,14,heavy_voice
OracleScheduler,22.60613182421811,88.84943182105215,94.40341874589618,1.0,0.12731055466593896,0.9380262665074403,0.0,651.8201584765222,14.0,0.12671946427005898,2800,14,heavy_voice
RandomScheduler,29.26358060363958,90.22109608229837,121.94826226243325,0.9697158913518577,0.15644126940917463,0.8241276824809934,0.0,664.9677104841727,16.015,4.124860756688033,3203,16,heavy_voice
RoundRobinScheduler,25.57868091736064,87.73286628012187,94.32740354157133,0.9943802684982829,0.15370102448246417,0.8224623916751954,0.0,660.3463023617924,16.015,0.9240810691301571,3203,16,heavy_voice
LoadBalanceScheduler,21.685818646906935,83.19240924684124,88.25214059505868,0.9990633780830471,0.020632345043489167,0.8254510030011412,0.0,605.839431239357,16.015,0.20436885226184512,3203,16,heavy_voice
FastestResponseScheduler,54.961157349621104,162.62229105724995,232.26821912071216,0.8463940056197315,0.4685722958113494,0.8241208651762275,0.0,666.3221642302361,16.015,13.916799634727857,3203,16,heavy_voice
E2MACSScheduler,25.768805592885368,104.40994513044959,176.24432638054503,1.0,0.27633606300579194,0.95,0.0,606.7743258767264,16.015,2.685501211921615,3203,16,heavy_voice
OracleScheduler,22.52954999649424,88.8915556895874,94.60787174216016,1.0,0.14327733881583463,0.9353000066409873,0.0,678.0874972560052,16.015,0.17442280761244053,3203,16,heavy_voice
RandomScheduler,29.33237976665046,90.95917257481862,132.89325833446017,0.971737323358271,0.1755558060679252,0.8249965213920648,0.0,690.0940096167045,18.045,4.262743274277732,3609,18,heavy_voice
RoundRobinScheduler,25.893367898660664,87.82300239467737,95.76480204117476,0.9939041285674702,0.17234630722684902,0.8227099509962831,0.0,686.4446256419114,18.045,1.1994706449332488,3609,18,heavy_voice
LoadBalanceScheduler,21.894794095992687,83.3187781931315,89.2842877836199,0.9988916597395401,0.028439806769054502,0.8281071013723317,0.0,629.697169478929,18.045,0.29632793904432353,3609,18,heavy_voice
FastestResponseScheduler,64.68010830579699,189.27758250818556,310.1908896698815,0.8085342200055416,0.5290402976885676,0.8240922268105974,0.5290402976885676,692.7777309829673,18.045,15.48064831107007,3609,18,heavy_voice
E2MACSScheduler,23.637846539978774,89.66458542265627,125.32365956074798,1.0,0.18819460551179865,0.8825447073357745,0.0,609.9201036766185,18.045,1.1528458987011985,3609,18,heavy_voice
OracleScheduler,22.682658068168724,89.14213996191052,94.33398952618975,0.99944582986977,0.1614098368261726,0.9316211454547629,0.0,706.3837191524718,18.045,0.22885935345001043,3609,18,heavy_voice
RandomScheduler,30.49062855138098,91.52117165215827,136.04070753159357,0.9620629804116043,0.19203969889932795,0.8243190476798722,0.0,716.2536103397432,20.165,5.094246503046657,4033,20,heavy_voice
